# Date: experiment date - A/B/letters indicate biological replicates (different colonies) done on the same date										
# Group: MM = mock primary, mock secondary; MO = mock primary, tBOOH secondary; PM = phosphate starve primary, mock secondary; PO = phosphate starve primary, tBOOH secondary										
# Len_1: length of primary stress treatment										
# Len_2: length of secondary stress treatment			tBOOH unit = mM							
# Dilutions: dilutions for CFU assay										
# Count: raw counts on CFU plates										
Date	Species	Strain	Genotype	Group	Len_1	Len_2	Oxidant	Concentration	Dilutions	Count
9/3/23	Cg	yH181	wildtype	PO	45 min	2 hr	MSB	350 mM	100	154
9/3/23	Cg	yH181	wildtype	PO	45 min	2 hr	MSB	400 mM	100	79
9/3/23	Cg	yH181	wildtype	PO	45 min	2 hr	H2O2	60 mM	100	145
9/4/23	Cg	yH181	wildtype	MM	45 min	2 hr	MSB	0 mM	1000	442
9/4/23	Cg	yH181	wildtype	MO	45 min	2 hr	MSB	300 mM	100	488
9/4/23	Cg	yH181	wildtype	MO	45 min	2 hr	MSB	350 mM	100	181
9/4/23	Cg	yH181	wildtype	MO	45 min	2 hr	MSB	400 mM	100	41
9/4/23	Cg	yH181	wildtype	MO	45 min	2 hr	H2O2	60 mM	100	26
9/4/23	Cg	yH181	wildtype	PM	45 min	2 hr	MSB	0 mM	1000	278
9/4/23	Cg	yH181	wildtype	PO	45 min	2 hr	MSB	300 mM	100	325
9/4/23	Cg	yH181	wildtype	PO	45 min	2 hr	MSB	350 mM	100	234
9/4/23	Cg	yH181	wildtype	PO	45 min	2 hr	MSB	400 mM	100	73
9/4/23	Cg	yH181	wildtype	PO	45 min	2 hr	H2O2	60 mM	100	471
9/5/23	Cg	yH181	wildtype	MM	45 min	2 hr	MSB	0 mM	1000	360
9/5/23	Cg	yH181	wildtype	MO	45 min	2 hr	MSB	300 mM	100	373
9/5/23	Cg	yH181	wildtype	MO	45 min	2 hr	MSB	350 mM	100	244
9/5/23	Cg	yH181	wildtype	MO	45 min	2 hr	MSB	400 mM	100	83
9/5/23	Cg	yH181	wildtype	MO	45 min	2 hr	H2O2	60 mM	100	49
9/5/23	Cg	yH181	wildtype	PM	45 min	2 hr	MSB	0 mM	1000	343
9/5/23	Cg	yH181	wildtype	PO	45 min	2 hr	MSB	300 mM	100	336
9/5/23	Cg	yH181	wildtype	PO	45 min	2 hr	MSB	350 mM	100	210
9/5/23	Cg	yH181	wildtype	PO	45 min	2 hr	MSB	400 mM	100	106
9/5/23	Cg	yH181	wildtype	PO	45 min	2 hr	H2O2	60 mM	100	390
9/6/23	Cg	yH181	wildtype	MM	45 min	2 hr	MSB	0 mM	1000	555
9/6/23	Cg	yH181	wildtype	MO	45 min	2 hr	MSB	300 mM	100	464
9/6/23	Cg	yH181	wildtype	MO	45 min	2 hr	MSB	350 mM	100	262
9/6/23	Cg	yH181	wildtype	MO	45 min	2 hr	MSB	400 mM	100	105
9/6/23	Cg	yH181	wildtype	MO	45 min	2 hr	H2O2	60 mM	100	214
9/6/23	Cg	yH181	wildtype	PM	45 min	2 hr	MSB	0 mM	1000	370
9/6/23	Cg	yH181	wildtype	PO	45 min	2 hr	MSB	300 mM	100	468
9/6/23	Cg	yH181	wildtype	PO	45 min	2 hr	MSB	350 mM	100	347
9/6/23	Cg	yH181	wildtype	PO	45 min	2 hr	MSB	400 mM	100	239
9/6/23	Cg	yH181	wildtype	PO	45 min	2 hr	H2O2	60 mM	100	809
9/8/23	Cg	yH181	wildtype	MM	45 min	2 hr	MSB	0 mM	1000	391
9/8/23	Cg	yH181	wildtype	MO	45 min	2 hr	MSB	300 mM	100	389
9/8/23	Cg	yH181	wildtype	MO	45 min	2 hr	MSB	350 mM	100	204
9/8/23	Cg	yH181	wildtype	MO	45 min	2 hr	MSB	400 mM	100	76
9/8/23	Cg	yH181	wildtype	MO	45 min	2 hr	H2O2	60 mM	100	90
9/8/23	Cg	yH181	wildtype	PM	45 min	2 hr	MSB	0 mM	1000	334
9/8/23	Cg	yH181	wildtype	PO	45 min	2 hr	MSB	300 mM	100	485
9/8/23	Cg	yH181	wildtype	PO	45 min	2 hr	MSB	350 mM	100	324
9/8/23	Cg	yH181	wildtype	PO	45 min	2 hr	MSB	400 mM	100	192
9/8/23	Cg	yH181	wildtype	PO	45 min	2 hr	H2O2	60 mM	100	723
